Order No,Cust ID,Order Date,Order Status,Order Amount,Feedback
4.26E+18,PBFR3115,21-01-2003 12:33,Other,,Why does it take over two weeks to get a simple Insurance approved?
4.26E+18,20N42702,21-01-2003 12:47,Other,,My application for a Credit Card was rejected without any explanation. What a waste of time.
4.26E+18,20N42702,21-01-2003 12:50,Other,,I have submitted my application for the Insurance.
4.26E+18,20N42702,21-01-2003 13:06,Other,,The KYC verification process for the Savings Account is a nightmare. It failed multiple times.
4.26E+18,L28W0182,21-01-2003 14:10,Other,,Just confirming that my documents for the Credit Card were received.
4.26E+18,IN7H6011,21-01-2003 14:18,Other,,The app is buggy and keeps logging me out while I'm trying to manage my Credit Card.
4.26E+18,0X0R2211,21-01-2003 14:21,Other,,Customer service on your Phone Call was useless. They couldn't answer any of my questions.
4.26E+18,0X0R2211,21-01-2003 14:22,Other,,The Website kept crashing when I tried to apply for a Credit Card.
4.26E+18,WYAE0999,21-01-2003 15:01,Other,,The Website kept crashing when I tried to apply for a Insurance.
4.26E+18,WYAE0999,21-01-2003 15:03,Other,,Everything was clear and transparent from the start. Very happy with the Credit Card.
4.26E+18,KIJA5202,21-01-2003 15:32,Other,,what is the next step after applying for a savings account via the phone call?
4.26E+18,CK7N0979,21-01-2003 15:33,Other,,The information on the Phone Call is misleading and outdated.
4.26E+18,KO4R6622,21-01-2003 16:09,Other,,The staff I spoke to via Mobile App were so helpful and patient.
4.26E+18,YNEY8229,21-01-2003 16:53,Other,,what is the next step after applying for a insurance via the phone call?
4.26E+18,YNEY8229,21-01-2003 16:56,Other,,Why does it take over two weeks to get a simpy Savings Account approved?
4.26E+18,L57F1913,21-01-2003 17:17,Other,,Is there an annual fee for this Savings Account?
4.26E+18,YNEY8229,21-01-2003 17:23,Other,,Got my Credit Card documents and welcomekit very quickly. Super efficient!
4.26E+18,XTX96208,21-01-2003 17:40,Other,,Received a quote for my Savings Account.
4.26E+18,EP446346,21-01-2003 17:46,Other,,the information on the website is misleading and outdated.
4.26E+18,Y3OG8218,21-01-2003 17:47,Other,,The information on the Mobile App is misleading and outdated.
4.26E+18,YNEY8229,21-01-2003 17:49,Other,,the kyc verification process for the savings account is a nightmare. it failed multiple times.
4.26E+18,WKG73725,21-01-2003 17:58,Other,,THE KYC VERIFICATION PROCESS FOR THE SAVINGS ACCOUNT IS A NIGHTMARE. IT FAILED MULTIPLE TIMES.
4.26E+18,E5IC4519,21-01-2003 18:01,Other,,The information on the Website is misleading and outdated.
4.26E+18,3K3A3827,21-01-2003 18:03,Other,,The information on the Website is misleading and outdated.
4.26E+18,EYCP1777,21-01-2003 18:04,Other,,Why does it take over two weeks to get a simple Savings Account approved?
4.26E+18,EYCP1777,21-01-2003 18:07,Other,,Got my Credit Card documents and welcome kit very quickly. Super efficient!
4.26E+18,ZIPL1022,21-01-2003 18:08,Other,,The app is buggy and keeps logging me out while I'm trying to manage my Savings Account.
4.26E+18,VKXG8498,21-01-2003 18:15,Other,,Everything was clear and transparent from the start. Very happy with the Credit Card.
4.26E+18,L1IG2152,21-01-2003 18:17,Other,,BUY $XYZ COIN NOW!! TO THE MOON!!
4.26E+18,EYCP1777,21-01-2003 18:19,Other,,Why does it take over two weeks to get a simple Credit Card approved?
4.26E+18,EYCP1777,21-01-2003 18:21,Other,,My new Credit Card is vw active.
4.26E+18,B5407070,21-01-2003 18:24,Other,,There are so many hidden fees! The Savings Account costs way more than advertised.
4.26E+18,B5407070,21-01-2003 18:29,Other,,My new Insurance is now active.
4.26E+18,66J36320,21-01-2003 18:56,Other,,Your website color scheme is boring. You should use more orange.
4.26E+18,66J36320,21-01-2003 19:03,Other,,Customer service on your Website was useless. They couldn't answer any of my questions.
4.26E+18,F5ZA7919,21-01-2003 19:03,Other,,Great deals on holiday packages to Goa! Visit mewebsite.
4.26E+18,9QN27688,21-01-2003 19:45,Other,,the kyc verification process for the credit card is a nightmare. it failed multiple times.
4.26E+18,E8GU4007,21-01-2003 20:00,Other,,Customer service on your In-Person Branch was useless. They couldn't answer any of my questions.
4.26E+18,ZQYU9391,21-01-2003 20:16,Other,,there are so many hidden fees! the insurance costs way more than advertised.
4.26E+18,5GIO9652,21-01-2003 20:23,Other,,is there an annual fee for this savings account?
4.26E+18,ZQYU9391,21-01-2003 20:27,Other,,THE APP IS BUGGY AND KEEPS LOGGING ME OUT WHILE I'M TRYING TO MANAGE MY CREDIT CARD.
4.26E+18,PVSW8309,21-01-2003 20:38,Other,,The staff I spoke to via Website were so helpful and patient.
4.26E+18,D60B6098,21-01-2003 20:43,Other,,My application for a Credit Card was rejected without any explanation. What a waste of time.
4.26E+18,RZBS5657,21-01-2003 21:00,Other,,The information on the Phone Call is misleading and outdated.
4.26E+18,47GU2651,21-01-2003 21:20,Other,,The app is buggy and keeps logging me out while I'm trying to manage my Insurance.
4.26E+18,HOGS0081,21-01-2003 21:37,Other,,THE KYC VERIFICATION PROCESS FOR THE INSURANCE IS A NIGHTMARE. IT FAILED MULTIPLE TIMES.
4.26E+18,DGYT7510,21-01-2003 21:37,Other,,JUST CONFIRMING THAT MY DOCUMENTS FOR THE CREDIT CARD WERE RECEIVED.
4.26E+18,D60B6098,21-01-2003 21:52,Other,,kceived a quote for my Savings Account.
4.26E+18,HOGS0081,21-01-2003 21:52,Other,,Everything was clear and transparent from the start. Very happy with the Insurance.
4.26E+18,D60B6098,21-01-2003 21:55,Other,,Why does it take over two weeks to get a simple Credit Card approved?
4.26E+18,URVK6818,21-01-2003 22:41,Other,,Your website color scheme is boring. You should use more orange.
4.26E+18,URVK6818,21-01-2003 22:44,Other,,The Phone Call kept crashing when I tried to apply for a Insurance.
4.26E+18,3GM95632,21-01-2003 23:06,Other,,There are so many hidden fees! The Savings Account costs way more than advertised.
4.26E+18,GMTX3635,21-01-2003 23:14,Other,,Is there an annual fee for this Savings Account?
4.26E+18,GMTX3635,21-01-2003 23:29,Other,,the in-person branch is very user-friendly and easy to navigate. a great experience.
4.26E+18,REZV4353,21-01-2003 23:31,Other,,The information on the In-Person Branch is misleading and outdated.
4.26E+18,VDT25487,21-01-2003 23:54,Other,,Your website color scheme is boring. You should use more orange.
4.26E+18,CK7N0979,21-01-2004 00:17,Other,,The app is buggy and keeps logging me out while I'm trying to manage my Credit Card.
4.26E+18,3GM95632,21-01-2004 00:20,Other,,Is this where I order a taxi? I'm late for a meeting.
4.26E+18,HZR13051,21-01-2004 00:32,Other,,The KYC verification process for the Credit Card is a nightmare. It failed multiple times.
4.26E+18,SNL29471,21-01-2004 01:32,Other,,I was approved for my Insurance in minutes. Excellent service.
4.26E+18,SNL29471,21-01-2004 01:43,Other,,love the benefits offered with my new savings account. highly recommend.
4.26E+18,4NQF2973,21-01-2004 02:22,Other,,Customer service on your Mobile App was useless. They couldn't answer any of my questions.
4.26E+18,WYAE0999,21-01-2004 05:56,Other,,What is the next step aftedapplying for a Insurance via the Website?
4.26E+18,IWTM3466,21-01-2004 06:45,Other,,I wasin hold for 45 minutes when I called your Website. Terrible support.
4.26E+18,47GU2651,21-01-2004 06:47,Other,,Can someone help me with my homework?
4.26E+18,47GU2651,21-01-2004 06:47,Other,,I was on hold for 45 minutes when I called your In-Person Branch. Terrible support.
4.26E+18,47GU2651,21-01-2004 06:52,Other,,I was on hold for 45 minutes when I blled your Mobile App. Terrible support.
4.26E+18,YRGS7686,21-01-2004 07:07,Other,,I WAS APPROVED FOR MY SAVINGS ACCOUNT IN MINUTES. EXCELLENT SERVICE.
4.26E+18,WDW89913,21-01-2004 07:45,Other,,My application for a Credit Card was rebcted without any explanation. What a waste of time.
4.26E+18,B9946134,21-01-2004 08:17,Other,,Great deals on holiday packages to Goa! Visit my website.
4.26E+18,47GU2651,21-01-2004 08:25,Other,,The Mobile App kept crashing when I tried to apply for a Credit Card.
4.26E+18,PWSR4457,21-01-2004 08:58,Other,,why does it take over two weeks to get a simple savings account approved?
4.26E+18,S3900606,21-01-2004 09:41,Other,,The KYC verification process for the Insurance is a nightmare. It failed multiple times.
4.26E+18,C5G41331,21-01-2004 10:10,Other,,Customer service on your Phone Call was useless. They couldn't answer any of my questions.
4.26E+18,686U6098,21-01-2004 10:33,Other,,Just confirming that my documents for the Savings Account were received.
4.26E+18,686U6098,21-01-2004 10:39,Other,,i was approved for my insurance in minutes. excellent service.
4.26E+18,D97R9000,21-01-2004 10:39,Other,,What is the next step after applying for a Insurance via the Mobile App?
4.26E+18,Z8EA4622,21-01-2004 11:28,Other,,Got my Insurance documents and welcome kit very quickly. Super efficient!
4.26E+18,9QN27688,21-01-2004 11:33,Other,,I was on hold for 45 minutes when I called your Website. Terrible support.
4.26E+18,WKG73725,21-01-2004 11:57,Other,,"I am the best financial advisor in Haryana, contact me for portfolio management."
4.26E+18,B9946134,21-01-2004 13:03,Other,,my application for a insurance was rejected without any explanation. what a waste of time.
4.26E+18,B9946134,21-01-2004 13:05,Other,,The KYC verification process for the Savings Account is a nightmare. It failed multiple times.
4.26E+18,P7T59949,21-01-2004 13:14,Other,,This is a test ymment.
4.26E+18,R7G16255,21-01-2004 13:15,Other,,iwas approved for my Credit Card in minutes. Excellent service.
4.26E+18,2UQI1707,21-01-2004 13:17,Other,,I was on hold for 45 minutes when I called your Website. Terrible support.
4.26E+18,WYAE0999,21-01-2004 13:25,Other,,Everything was clear and transparent from the start. Very happy with the Insurance.
4.26E+18,KIJA5202,21-01-2004 13:37,Other,,BUY $XYZ COIN NOW!! TO THE MOON!!
4.26E+18,R7G16255,21-01-2004 13:41,Other,,GREAT DEALS ON HOLIDAY PACKAGES TO GOA! VISIT MY WEBSITE.
4.26E+18,LADG2454,21-01-2004 14:01,Other,,Received a quote for my Credit Card.
4.26E+18,W8LM9471,21-01-2004 14:03,Other,,What is the next step after applying for a Credit Card via the Mobile App?
4.26E+18,0S420385,21-01-2004 14:30,Other,,My application for a Credit Card was rejected without any explanation. What a waste of time.
4.26E+18,NF237622,21-01-2004 15:05,Other,,Everything was clear and transparent from the start. Very happy with the Credit Card.
4.26E+18,WKG73725,21-01-2004 15:42,Other,,love the benefits offered with my new credit card. highly recommend.
4.26E+18,WYAE0999,21-01-2004 16:21,Other,,The Phone Call is very user-friendly and easy to navigate. A great experience.
4.26E+18,LUFU4371,21-01-2004 16:24,Other,,Requesting more information about the Insurance benefits.
4.26E+18,9QN27688,21-01-2004 16:28,Other,,Your website color scheme is boring. You should use more orange.
4.26E+18,60TM1760,21-01-2004 16:36,Other,,The staff I spoke to via Website were so helpful and patient.
4.26E+18,60TM1760,21-01-2004 16:39,Other,,The Mobile App is very user-friendly and easy to navigate. A great experience.
4.26E+18,W76V0344,21-01-2004 17:35,Other,,I was approved for my Savings Account in minutes. Excellent service.
4.26E+18,65YM0488,21-01-2004 17:56,Other,,Is this where I order a taxi? I'm late for a meeting.
4.26E+18,65YM0488,21-01-2004 17:59,Other,,the staff i spoke to via mobile app were so helpful and patient.
4.26E+18,65YM0488,21-01-2004 18:00,Other,,Why does it take over two weeks to get a simple Credit Card approved?
4.26E+18,QAFX3212,21-01-2004 18:05,Other,,Is there an annual fee for this Credit Card?
4.26E+18,5GIO9652,21-01-2004 18:54,Other,,What is the next step after applying for a Savings Account via the Phone Call?
4.26E+18,DD4Q5981,21-01-2004 19:23,Won,254,Customer service on your Mobile App was useless. They couldn't answer any of my questions.
4.26E+18,70I69733,21-01-2004 20:20,Other,,the process on the phone call was incredibly smooth and fast!
4.26E+18,70I69733,21-01-2004 20:44,Other,,Learn how to triple your income with my new book!
4.26E+18,Z8EA4622,21-01-2004 21:00,Other,15222,I was approved for my Credit Card in minutes. Excellent service.
4.26E+18,VLPM3058,21-01-2004 21:20,Other,,Love the benefits offered with my new Savings Account. Highly recommend.
4.26E+18,DD4Q5981,21-01-2004 21:22,Other,,Customer service on your Website was useless. They couldn't answer any of my questions.
4.26E+18,DD4Q5981,21-01-2004 21:24,Other,,Customer service on your Website was useless. They couldn't answer any of my questions.
4.26E+18,CAE26358,21-01-2004 21:24,Other,,Customer service on your In-Person Branch was useless. They couldn't answer any of my questions.
4.26E+18,6YYA3583,21-01-2004 22:19,Other,,Got my Savings Account documents and welcome kit very quickly. Super efficient!
4.26E+18,Z8EA4622,21-01-2004 22:58,Other,,The information on the Website is misleading and outdated.
4.26E+18,V5DK8386,21-01-2004 23:03,Other,,The process on the Website was incredibly smooth and fast!
4.26E+18,V5DK8386,21-01-2004 23:14,Other,,Just confirming that my documents for the Credit Card were received.
4.26E+18,26X80126,21-01-2004 23:14,Other,,Customer service on your In-Person Branch was useless. They couldn't answer any of my questions.
4.26E+18,O6FO9541,21-01-2004 23:28,Other,,The KYC verification process for the Savings Account is a nightmare. It failed multiple times.
4.26E+18,KFTX3360,21-01-2004 23:54,Other,,Customer service on your Phone Call was useless. They couldn't answer any of my questions.
4.26E+18,V5DK8386,21-01-2005 00:22,Other,,Love the benefits offered with my new Insurance. Highly recommend.
4.26E+18,X5600222,21-01-2005 00:41,Other,,The KYC verification process for the Credit Card is a nightmare. It failed multiple times.
